id,artist,sculpt,name,img
bc45a077,MFC,Toadstool,Dat Boi,https://lh4.googleusercontent.com/6pGNMYrve-3lGIMbvJu3pLFFg2ZxQk8-Bd_hSrtw2CGQV4uKuAE76JOUwtnbnUb8wpupXFA4ibTC9_BiOho1BFUVeAdbAtkXHuwUWUY1_HLdLmyNaZWCPW2ZeMOKl5FxpeZ9Wih94pQ
ba182e22,MFC,Toadstool,GIVE Culture,https://lh6.googleusercontent.com/IGlTPGeZNBSr0_Z9K3DJ57fYqCeZHZWPDRqgrFFcyHwF9_fYwSJyJw4O-KgKTSYOqKqG3DBL0JTNPYzVcVooPgJycfqFF5uRTBKimgKcKCA9-Nq70aZLYqak-sISeU_kYloOOg26ky4
acbee1ff,MFC,Toadstool,Thackery,https://lh4.googleusercontent.com/EXF_8earBmDBJhDsDhDREHwPTnOZdYNZKfBX8ETqBybkTdA3RWA2U-bHWbfboVEUQT0jT02XUaLyRiooCruL35SM9BwkYAhhF_Ph1uJYPjRhgyHFZRL2EFraggpvKLxeGRIdvpyt2_U
5ac20baf,MFC,Toadstool,TrumpetD,https://lh6.googleusercontent.com/7oNWrVThEy4X_tGE6DtB_H3dhBHlEFDTrj8kfbi3ia231E9_XSpcZKRYMnmnP3HOK5ToCn5FV7jpVvhOrqjh3Y9jsC-a2vZ3M9pNA_l9Zf1T2gDAv-7KP296rKcBSigjdnjpYx7WpAc
800967c9,MFC,Toadstool,Humidity,https://lh3.googleusercontent.com/0EYCqGhnxWOEy3gwLO0SPg1bacj1B8fJiouPWxe8Vt52gBhRuQBuhPtKVpC4HIqzsUDmgNR-kSarEMJa6k52flnZvZMBm-DuY4ctzR8M8inmoKE-DolAzQXMjOmODa_FdRYLQDPS_f4
f5fccbf1,MFC,Naraka,Burning,https://lh3.googleusercontent.com/lydMA2-1AiYf3RbvPANjFTf-64oCR4YdKNJDhJbk_Pcpr5-WxztJo09NTC3eMwaBY-amZFTeOorhuK3CBL6bkpKMg8_znZJjlWc64dekhY_M96goCtWBC0K4y1Y4yalO3cWjd41qXVE
d142fdac,MFC,Naraka,Signal Blue,https://lh6.googleusercontent.com/YWraRnr3ztTCnhu7vqbGoPLSMB5m52-2ziHUQ-kn8-pGjCh7tm9_z0yKgDliUZv-_bJfPlN0Gghkn8JKjqc1WWsl8002veJAmUdSkCSoXT-ZVHiYyUNXZk4BE5vyB9IwSCpF4GkJQMw
f8ff9387,MFC,Naraka,Soniashnik,https://lh3.googleusercontent.com/rj8ZJNaF4_yZVVF8THqUCxG5ujWs6_XgOyir9HCVTgfmpLJGPYKufZjz4A6a31krtkQA-CKydqmYbOSo01P0GMdsc1I-fzrzqj8rJ9Nk42BMZTHJ2lpiiA8yP_yxOonoAcT5pPF1jzw
7fbd5e4d,MFC,Naraka,Dying Light,https://lh5.googleusercontent.com/lNCmgTBjjKKPqM70lk9ke_KP_DfDM9AA3U00TsxUYxwywxT3xSvd0-q2oWPQwBAiJAK5VzlmimryyigIJn5ckWKHB3d3rx37xWdS_eakYdUZDalirtgWgj6l9hbUCkoGQHwAzwugiKo
5f2bdc32,MFC,Dokkaebi,Branded Swag,https://lh4.googleusercontent.com/YJzvFNOTNOjdJE0IKaUgRf0suDQ62LcoTv3uRUGSoW5jqFd1KoG2Zg3qRBDQCDyHjBU-KsiQAhva3IrZOBU710EWCor89MnVOwEh8w9TP4VaeLxi99ijSpHWL398XXqwtnfvmNZ3vfU
